"","Estado","Antiguedad","Vivienda","Plazo","Edad","EstadoCivil","Registros","Trabajo","Gastos","Ingresos","Activos","Deuda","Cantidad","Precio"
"1","bueno",9,"alquila",60,30,"casado","no","freelance",73,129,0,0,800,846
"2","bueno",17,"alquila",60,58,"viudo","no","fijo",48,131,0,0,1000,1658
"3","malo",10,"propietario",36,46,"casado","sí","freelance",90,200,3000,0,2000,2985
"4","bueno",0,"alquila",60,24,"soltero","no","fijo",63,182,2500,0,900,1325
"5","bueno",0,"alquila",36,26,"soltero","no","fijo",46,107,0,0,310,910
"6","bueno",1,"propietario",60,36,"casado","no","fijo",75,214,3500,0,650,1645
"7","bueno",29,"propietario",60,44,"casado","no","fijo",75,125,10000,0,1600,1800
"8","bueno",9,"padres",12,27,"soltero","no","fijo",35,80,0,0,200,1093
"9","bueno",0,"propietario",60,32,"casado","no","freelance",90,107,15000,0,1200,1957
"10","malo",0,"padres",48,41,"casado","no","tiempo parcial",90,80,0,0,1200,1468
"11","bueno",6,"propietario",48,34,"casado","no","freelance",60,125,4000,0,1150,1577
"12","bueno",7,"propietario",36,29,"casado","no","fijo",60,121,3000,0,650,915
"13","bueno",8,"propietario",60,30,"casado","no","fijo",75,199,5000,2500,1500,1650
"14","bueno",19,"privado",36,37,"casado","no","fijo",75,170,3500,260,600,940
"15","malo",0,"otra",18,21,"soltero","sí","tiempo parcial",35,50,0,0,400,500
"16","bueno",0,"propietario",24,68,"casado","no","fijo",75,131,4162,0,900,1186
"17","bueno",15,"privado",24,52,"soltero","no","freelance",35,330,16500,0,1500,2201
"18","bueno",33,"alquila",24,68,"casado","no","freelance",65,200,5000,2000,600,1350
"19","malo",0,"ignorar",48,36,"casado","no","tiempo parcial",45,130,750,0,1100,1511
"20","bueno",1,"padres",60,31,"soltero","no","fijo",35,137,0,0,1250,1253
"21","malo",2,"alquila",60,25,"soltero","no","fijo",46,107,0,0,1500,2189
"22","bueno",5,"propietario",60,22,"soltero","no","fijo",45,324,10000,0,1100,1159
"23","malo",1,"propietario",60,45,"casado","no","tiempo parcial",105,112,2000,500,600,1332
